iter	Passed	Remaining
0	58	58052
1	58	29148
2	58	19514
3	59	14702
4	59	11819
5	59	9909
6	60	8540
7	60	7514
8	60	6702
9	61	6051
10	61	5540
11	61	5097
12	62	4718
13	62	4393
14	62	4114
15	62	3868
16	63	3652
17	63	3459
18	63	3284
19	63	3130
20	64	2992
21	64	2869
22	64	2756
23	65	2649
24	65	2549
25	65	2458
26	65	2376
27	66	2298
28	66	2228
29	66	2160
30	67	2095
31	67	2035
32	67	1978
33	67	1924
34	67	1874
35	68	1829
36	68	1784
37	68	1742
38	69	1701
39	69	1665
40	69	1628
41	69	1593
42	70	1560
43	70	1530
44	70	1499
45	70	1470
46	71	1442
47	71	1416
48	71	1390
49	71	1366
50	72	1342
51	72	1319
52	72	1296
53	72	1275
54	73	1256
55	73	1237
56	73	1218
57	74	1201
58	74	1183
59	74	1167
60	74	1148
61	75	1134
62	75	1121
63	75	1107
64	76	1093
65	76	1080
66	76	1066
67	76	1051
68	77	1040
69	77	1028
70	77	1017
71	78	1006
72	78	993
73	78	982
74	78	972
75	79	962
76	79	952
77	79	941
78	79	930
79	80	921
80	80	912
81	80	903
82	81	894
83	81	886
84	81	877
85	81	871
86	82	862
87	82	854
88	82	845
89	82	838
90	83	831
91	83	823
92	83	816
93	83	809
94	84	802
95	84	795
96	84	789
97	85	783
98	85	776
99	85	771
100	85	765
101	86	757
102	86	751
103	86	746
104	86	740
105	87	734
106	87	730
107	87	722
108	87	718
109	88	713
110	88	708
111	88	703
112	89	698
113	89	694
114	89	689
115	89	684
116	90	680
117	90	675
118	90	671
119	91	667
120	91	664
121	91	660
122	92	656
123	92	651
124	92	647
125	92	644
126	93	640
127	93	637
128	94	634
129	94	632
130	94	629
131	95	625
132	95	622
133	95	618
134	96	615
135	96	611
136	96	608
137	96	604
138	97	600
139	97	597
140	97	595
141	97	591
142	98	588
143	98	585
144	98	581
145	99	579
146	99	575
147	99	572
148	99	569
149	99	566
150	100	563
151	100	560
152	100	558
153	101	555
154	101	553
155	101	550
156	102	548
157	102	545
158	102	543
159	102	540
160	103	538
161	103	535
162	103	531
163	103	529
164	104	527
165	104	524
166	104	522
167	104	519
168	105	517
169	105	515
170	105	512
171	106	510
172	106	508
173	106	507
174	107	505
175	107	502
176	107	500
177	108	498
178	108	497
179	108	495
180	109	493
181	109	491
182	109	489
183	109	486
184	110	484
185	110	483
186	110	481
187	111	479
188	111	478
189	111	475
190	111	474
191	112	472
192	112	470
193	112	468
194	113	466
195	113	464
196	113	463
197	113	461
198	114	459
199	114	457
200	114	455
201	114	453
202	115	451
203	115	450
204	115	448
205	116	447
206	116	445
207	116	444
208	116	442
209	117	441
210	117	439
211	117	437
212	118	436
213	118	434
214	118	433
215	118	431
216	119	429
217	119	428
218	119	427
219	120	425
