iter	Passed	Remaining
0	4	4986
1	5	2817
2	6	2005
3	6	1636
4	6	1377
5	7	1199
6	7	1079
7	7	990
8	8	922
9	8	868
10	9	821
11	9	789
12	9	751
13	10	721
14	10	698
15	11	677
16	11	659
17	11	650
18	12	633
19	12	617
20	12	605
21	13	592
22	13	580
23	14	572
24	14	562
25	14	554
26	15	549
27	15	543
28	16	536
29	16	528
30	16	521
31	17	515
32	17	508
33	17	502
34	18	498
35	18	494
36	18	488
37	19	484
38	19	479
39	19	476
40	20	472
41	20	470
42	20	465
43	21	461
44	21	457
45	21	454
46	22	451
47	22	448
48	22	444
49	23	441
50	23	439
51	24	438
52	24	436
53	24	435
54	25	433
55	25	431
56	25	429
57	26	428
58	26	426
59	27	424
60	27	421
61	27	421
62	28	419
63	28	419
64	29	418
65	29	417
66	29	417
67	30	419
68	31	419
69	31	420
70	32	419
71	32	419
72	33	420
73	33	419
74	33	418
75	34	418
76	34	419
77	35	417
78	35	417
79	36	415
80	36	414
81	36	413
82	37	409
83	37	409
84	37	408
85	38	408
86	38	408
87	39	407
88	39	407
89	40	406
90	40	405
91	41	405
92	41	405
93	41	404
94	42	403
95	42	401
96	43	402
97	43	402
98	44	401
99	44	401
100	44	400
101	46	405
102	46	404
103	46	404
104	47	404
105	47	403
106	48	402
107	48	401
108	49	401
109	49	401
110	50	401
111	50	400
112	50	399
113	51	399
114	51	397
115	52	397
116	52	395
117	52	395
118	53	394
119	53	393
120	54	393
121	54	391
122	54	390
123	55	389
124	55	389
125	56	389
126	56	387
127	56	387
128	57	386
129	57	385
130	58	385
131	58	384
132	58	384
133	59	383
134	59	382
135	60	382
136	60	381
137	61	381
138	61	380
139	61	378
140	62	378
141	62	377
142	62	377
143	63	376
144	63	375
145	64	375
146	64	374
147	64	374
148	65	373
149	65	372
150	66	373
151	66	372
152	67	371
153	67	370
154	67	370
155	68	369
156	68	369
157	69	368
158	69	368
159	69	367
160	70	365
161	70	365
162	71	364
163	71	364
164	71	363
165	72	362
166	72	362
167	72	361
168	73	360
169	73	360
170	74	359
171	74	358
172	74	358
173	75	357
174	75	357
175	76	357
176	76	356
177	77	356
178	77	355
179	78	355
180	78	355
181	78	354
182	79	354
183	79	353
184	80	353
185	80	353
186	81	353
187	81	352
188	82	352
189	82	352
190	83	352
191	83	351
192	83	350
193	84	349
194	84	349
195	84	348
196	85	347
197	85	347
198	86	346
199	86	346
200	87	346
201	87	345
202	87	344
203	88	344
204	88	343
205	89	343
206	89	342
207	89	342
208	90	342
209	90	341
210	91	340
211	91	340
212	91	339
213	92	338
214	92	338
215	93	337
216	93	337
217	94	337
218	94	337
219	95	336
220	95	336
221	95	335
222	96	335
223	96	334
224	97	334
225	97	334
226	98	333
227	98	333
228	98	332
229	99	332
230	99	331
231	100	331
232	100	331
233	100	330
234	101	329
235	101	329
236	102	328
237	102	327
238	102	327
239	103	326
240	103	326
241	104	325
242	104	325
243	105	325
244	105	324
245	105	324
246	106	324
247	106	323
248	107	323
249	107	322
250	107	322
251	108	321
252	108	321
253	109	321
254	110	321
255	110	321
256	111	321
257	111	320
258	112	320
259	112	320
260	112	319
261	113	319
262	114	320
263	114	320
264	115	319
265	115	319
266	116	318
267	116	318
268	116	317
269	117	317
270	117	316
271	118	315
272	118	315
273	118	314
274	119	314
275	119	314
276	120	314
277	120	313
278	121	313
279	121	312
280	121	311
281	122	311
282	122	310
283	123	310
284	123	309
285	123	308
286	124	308
287	124	308
288	125	308
289	125	308
290	126	307
291	126	307
292	127	306
293	127	306
294	128	306
295	128	305
296	129	305
297	129	305
298	129	304
299	130	303
300	130	303
301	131	303
302	131	302
303	132	302
304	132	302
305	133	301
306	133	301
307	133	300
308	134	299
309	134	299
310	135	299
311	135	298
312	135	298
313	136	297
314	136	297
315	137	296
316	137	296
317	137	295
318	138	295
319	138	294
320	138	294
321	139	293
322	139	293
323	140	292
324	141	293
325	142	293
326	142	293
327	142	292
328	143	292
329	143	292
330	144	291
331	144	291
332	145	290
333	145	290
